State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI
Indiana,2011,9.906356070652174,22.218478260869563,20.494565217391305,0.0337705597826087,0.04921195652173913,45.78260869565217,1.3611319782608695,7.047010869565218,12.233695652173912,0.056329453804347826,0.16793478260869565,1.2554347826086956
Indiana,2012,9.84046254248366,24.19346405228758,22.366013071895424,0.035762509803921566,0.052627450980392156,51.11764705882353,0.8448061470588235,5.462091503267974,8.732026143790849,0.4007989411764706,0.5526143790849674,5.908496732026144
Indiana,2013,10.35954569803516,21.073422957600826,19.44364012409514,0.028500381592554292,0.04109410548086866,37.33919338159255,2.1757260548086865,8.098241985522234,13.12396694214876,0.26814745915201654,0.41375387797311275,4.138572905894519
Indiana,2014,11.333617678481014,22.8,21.040506329113924,0.02703470126582278,0.039354430379746834,37.51898734177215,2.4798351316455696,8.313164556962025,13.772151898734178,0.23124612151898735,0.3930379746835443,3.7088607594936707
Indiana,2015,13.494140243609023,25.395639097744358,23.509774436090225,0.026211491729323307,0.03852330827067669,37.123308270676695,1.2629852293233084,4.629924812030075,7.213533834586467,0.2488516676691729,0.43819548872180447,4.225903614457831
Iowa,2011,7.359249986679353,16.62987630827783,15.25499524262607,0.02803213225499524,0.03833206470028544,32.78782112274025,0.49673884586108474,1.573358705994291,2.2507122507122506,0.2067048106565176,0.30959181731684116,2.837142857142857
Iowa,2012,7.57747048471223,17.219604316546764,15.798561151079136,0.029349535971223025,0.04027517985611511,35.20323741007194,0.42232420098920864,1.1179406474820144,1.3477088948787062,0.21538954946043165,0.33040827338129497,3.044104410441044
Iowa,2013,6.766695505050505,15.348484848484848,14.004591368227732,0.028334606978879708,0.038058769513314966,32.28833792470156,0.399249556932966,1.3716253443526172,1.9403122130394859,0.20139591276400368,0.29666023875114783,2.726354453627181
Iowa,2014,6.348770536458334,14.454166666666667,13.196180555555555,0.02664081597222222,0.03603559027777778,33.7734375,0.4163817456597222,1.0348958333333333,1.2378472222222223,0.20326658072916667,0.3090659722222222,2.890625
Iowa,2015,6.067910473958333,14.280381944444445,13.07986111111111,0.027443917534722223,0.03720225694444444,34.82118055555556,0.40115888975694447,0.8567708333333334,0.8819444444444444,0.20816325868055557,0.31238454861111115,2.9114583333333335
Kansas,2011,13.100770260000001,27.050285714285714,25.074285714285715,0.02198442857142857,0.03208571428571429,27.32,3.6189493357142855,7.313285714285715,11.397142857142857,0.45144234714285714,0.6604285714285715,6.868571428571428
Kansas,2012,12.065956740088106,26.87151248164464,24.90748898678414,0.028823919236417035,0.04123494860499266,38.28046989720998,2.808529079295154,7.322466960352424,11.736070381231672,0.510675077092511,0.7327459618208517,7.72834067547724
Kansas,2013,11.859712665584416,25.46655844155844,23.564935064935064,0.025206116883116882,0.0360974025974026,34.561688311688314,2.0433924545454545,6.056980519480519,9.694805194805195,0.43578813474025974,0.6373717532467532,6.564935064935065
Kansas,2014,11.030924596590909,24.791477272727274,22.946022727272727,0.025180039772727272,0.03586363636363637,33.88636363636363,1.7583278650568182,6.591335227272728,10.9375,0.26485516903409095,0.4313338068181818,4.181818181818182
Kansas,2015,11.036150472346787,24.7423019431988,22.923766816143498,0.02535690582959641,0.03647085201793722,34.369207772795214,1.542131605381166,5.32660687593423,8.607462686567164,0.2860998019431988,0.47974065769805685,4.613193403298351
Kentucky,2013,14.108201243902439,27.25,25.28048780487805,0.015324060975609755,0.02554878048780488,21.682926829268293,1.4973032987804877,4.868292682926829,7.7317073170731705,0.3517634817073171,0.5636585365853658,5.7317073170731705
Kentucky,2014,11.438002149847094,24.063608562691133,22.275229357798164,0.02048156880733945,0.031541284403669725,29.65137614678899,1.4575314816513762,4.752905198776759,7.373088685015291,0.2613089755351682,0.41201834862385317,3.9877300613496933
Kentucky,2015,7.884836158031089,20.112694300518136,18.531088082901555,0.02366171243523316,0.03965284974093264,39.94559585492228,0.5511602487046633,1.805699481865285,2.354005167958656,0.27079484455958547,0.45366580310880833,4.225974025974026
Louisiana,2011,11.665706710743802,26.4137741046832,24.482093663911847,0.025233942148760333,0.03986776859504132,35.99724517906336,1.247419834710744,4.110192837465565,6.528925619834711,0.2214975041322314,0.3702617079889807,3.371900826446281
Louisiana,2012,11.400542943661971,25.54338028169014,23.68169014084507,0.024979115492957744,0.039028169014084506,34.32676056338028,0.8244011042253522,2.4356338028169016,3.571830985915493,0.21868265492957747,0.3689859154929578,3.36056338028169
Louisiana,2013,9.644705094444443,21.56972222222222,19.869444444444444,0.02365381111111111,0.03545277777777778,33.53611111111111,0.6352537291666667,2.044027777777778,2.977777777777778,0.2040162875,0.3330138888888889,3.022222222222222
Louisiana,2014,10.480869211480362,23.620543806646523,21.867069486404834,0.023334157099697887,0.03576737160120846,34.62537764350453,1.2450263338368581,3.3166163141993956,4.936555891238671,0.26671893504531724,0.4086555891238671,3.906344410876133
Louisiana,2015,9.385910437241378,20.149103448275863,18.566896551724138,0.02355080827586207,0.03530344827586207,33.990344827586206,1.0705288620689655,2.3033793103448277,3.059310344827586,0.2208694027586207,0.34577931034482756,3.2451790633608817
Maine,2011,5.592793518441197,12.582811412665276,11.696590118302018,0.024528900487125957,0.03217536534446764,27.336116910229645,0.8144703646485734,1.9664578983994434,2.9603340292275573,0.23271899930410575,0.3262115518441197,3.267409470752089
Maine,2012,6.063861375348189,13.385793871866296,12.27158774373259,0.024589704735376045,0.03236977715877437,27.541782729805014,0.7577239397632313,1.867792479108635,2.477383437717467,0.28564076497214486,0.3797364206128134,3.9457202505219207
Maine,2013,3.9137720487309644,9.740812182741118,8.845685279187817,0.02712493299492386,0.0334761421319797,28.38274111675127,0.8383433725888325,1.4439086294416243,1.6089159067882473,0.2221250416243655,0.29092030456852797,2.894523326572008
Maine,2014,3.5835317119741097,9.05695792880259,8.161812297734627,0.024984126213592233,0.03155501618122977,29.42556634304207,0.5293181666666666,0.969822006472492,0.9789644012944984,0.21348468689320388,0.28124838187702267,2.70873786407767
Maine,2015,5.027353650147929,15.049186390532544,13.861686390532544,0.024421514792899408,0.031200443786982248,28.994082840236686,0.8553542174556213,1.393491124260355,1.5872781065088757,0.24640128180473372,0.3361834319526627,3.354074074074074
Maryland,2011,12.948896150159745,27.169329073482427,25.610223642172524,0.026296115015974442,0.039581469648562295,36.322683706070286,1.9809930255591055,4.766134185303514,7.26517571884984,0.3006024233226837,0.542332268370607,5.220447284345048
Maryland,2012,10.183034609011628,21.857703488372092,20.399709302325583,0.025613921511627908,0.04018313953488372,36.76889534883721,1.1303751671511628,2.6909156976744186,3.7863372093023258,0.24267264970930233,0.4107398255813953,3.8561046511627906
Maryland,2013,9.742784201607012,20.598758217677137,19.044558071585097,0.025449509130752376,0.03769320672023375,34.363769174579986,0.9568023469685902,2.3452885317750183,3.1751824817518246,0.22410364645726807,0.3686968590211833,3.4653031409788166
Maryland,2014,6.948792606945144,14.943231001509814,13.72269753397081,0.0280350342224459,0.039157523905385,37.37091092098641,1.065057254655259,2.6584046300956214,3.687468545546049,0.1964987443381983,0.30480372420734775,2.8751258811681772
Maryland,2015,7.425915334681496,15.52912032355915,14.296764408493427,0.02804939686552073,0.03988119312436805,38.886248736097066,0.8920482702224469,2.0995702730030334,2.760990399191511,0.21464779221435792,0.3376405460060667,3.211723092470945
Massachusetts,2011,18.529944335164835,31.40934065934066,29.6510989010989,0.020850771978021976,0.02923901098901099,24.85989010989011,1.2489172087912088,3.112087912087912,4.53021978021978,0.28804926923076923,0.45188324175824174,4.508241758241758
Massachusetts,2012,15.805084535564854,27.524407252440724,26.00278940027894,0.020715857740585774,0.029285913528591355,24.98047419804742,1.101261649232915,2.2879358437935844,2.8437935843793585,0.2773831311018131,0.4195216178521618,4.22841225626741
Massachusetts,2013,17.477490663366336,29.81188118811881,28.128712871287128,0.021589364922206505,0.0298019801980198,25.342291371994342,1.0711304285714287,2.072842998585573,2.5112994350282487,0.2732709398868458,0.41908628005657705,4.193776520509194
Massachusetts,2014,15.571230801242237,27.72360248447205,26.167701863354036,0.021383965838509315,0.029239130434782604,27.055900621118013,1.0277057298136647,1.9807453416149068,2.313664596273292,0.27640229813664596,0.41245186335403733,4.130434782608695
Massachusetts,2015,14.398738250773993,26.027863777089784,24.54798761609907,0.022485863777089783,0.030671826625387,28.622291021671828,0.7164238699690403,1.2874613003095976,1.1919504643962848,0.27374588699690405,0.40357120743034053,4.108359133126935
Minnesota,2011,7.521111348432056,19.2404181184669,18.209059233449477,0.027551158536585366,0.0380801393728223,32.61498257839721,0.8922807961672474,1.7682926829268293,2.1057192374350087,0.21467512020905924,0.3291054006968641,3.1558669001751314
Minnesota,2012,6.409370177419355,17.524193548387096,16.491935483870968,0.035082999999999996,0.04830645161290323,45.58870967741935,0.3922276411290323,0.9548387096774194,0.744,0.15120025806451612,0.23843548387096775,2.302752293577982
Minnesota,2014,6.23165954040404,14.825757575757576,14.005050505050505,0.025247356060606064,0.03529292929292929,33.62626262626262,0.41520928787878786,0.7694444444444444,0.6105769230769231,0.25182069065656565,0.34207702020202024,3.3520408163265305
Minnesota,2015,6.645456237226278,16.197883211678832,14.867153284671533,0.026115101459854018,0.03568248175182481,33.48321167883212,0.7046586452554744,1.0232846715328467,0.759018759018759,0.2830318080291971,0.3851007299270073,3.930983847283407
Missouri,2013,12.03847475510204,23.720116618075803,21.88338192419825,0.024133250728862972,0.03684548104956268,32.075801749271136,2.48820978425656,7.299416909620991,11.988372093023257,0.25856419387755103,0.4152959183673469,3.860058309037901
Missouri,2014,11.834839902506964,25.11810584958217,23.259052924791085,0.02508600278551532,0.03651532033426184,35.28412256267409,2.130938194986072,6.393593314763232,10.54317548746518,0.25471200835654595,0.40352228412256264,3.7409470752089136
Missouri,2015,13.109978697841727,24.33273381294964,22.53956834532374,0.020683460431654678,0.029535971223021585,27.402877697841728,1.392437534172662,3.6643884892086334,5.607913669064748,0.26952590287769784,0.42354316546762594,4.071942446043166
Nevada,2011,16.665880235616438,32.157534246575345,29.931506849315067,0.026886372602739725,0.03884109589041096,33.12328767123287,0.5022216835616439,1.1657534246575343,1.1835616438356165,0.29588597397260274,0.5339369863013699,4.791780821917809
Nevada,2012,14.147347522222223,30.168055555555554,28.055555555555557,0.03157218888888889,0.044205555555555553,39.141666666666666,0.37438249305555554,0.9509722222222223,0.8944444444444445,0.25755990972222226,0.4740513888888889,4.197222222222222
Nevada,2013,16.235530771014492,30.74028985507246,28.597101449275364,0.028116846376811597,0.04073333333333333,39.86376811594203,0.4997287318840579,1.173913043478261,1.2028985507246377,0.30598230000000004,0.5375652173913044,4.889855072463768
